timestamp,src_ip,dst_ip,src_port,dst_port,protocol,prediction,risk_score
2026-04-25 14:51:19,192.168.1.10,8.8.8.8,60333,443,udp,NORMAL,0.3217
2026-04-25 14:51:20,192.168.1.15,1.1.1.1,51820,443,icmp,NORMAL,0.619
2026-04-25 14:51:21,192.168.1.10,192.168.1.1,44321,3389,udp,NORMAL,0.8723
2026-04-25 14:51:22,10.0.0.22,192.168.1.1,44321,443,udp,NORMAL,0.4228
2026-04-25 14:51:23,10.0.0.22,192.168.1.1,60333,53,tcp,NORMAL,0.2558
2026-04-25 14:51:24,10.0.0.22,1.1.1.1,51820,22,udp,ATTACK,0.0616
2026-04-25 14:51:25,192.168.1.10,8.8.8.8,0,3389,icmp,NORMAL,0.1406
2026-04-25 14:51:26,192.168.1.15,10.0.0.1,60333,22,udp,ATTACK,0.0854
2026-04-25 14:51:27,10.0.0.22,1.1.1.1,60333,80,tcp,NORMAL,0.4412
2026-04-25 14:51:28,172.16.0.8,192.168.1.1,60333,80,tcp,ATTACK,0.4599
2026-04-25 14:51:29,192.168.1.15,192.168.1.1,44321,80,tcp,NORMAL,0.7763
2026-04-25 14:51:30,192.168.1.10,10.0.0.1,51820,53,udp,NORMAL,0.5765
2026-04-25 14:51:31,172.16.0.8,1.1.1.1,60333,80,tcp,NORMAL,0.4205
2026-04-25 14:51:32,172.16.0.8,1.1.1.1,44321,53,udp,NORMAL,0.213
2026-04-25 14:51:33,172.16.0.8,10.0.0.1,0,53,udp,ATTACK,0.1721
2026-04-25 14:51:34,10.0.0.22,8.8.8.8,51820,53,icmp,ATTACK,0.84
2026-04-25 14:51:35,10.0.0.22,1.1.1.1,51820,80,udp,NORMAL,0.8964
2026-04-25 14:51:36,192.168.1.15,1.1.1.1,51820,80,tcp,ATTACK,0.7593
2026-04-25 14:51:37,10.0.0.22,1.1.1.1,51820,22,udp,NORMAL,0.6211
2026-04-25 14:51:38,172.16.0.8,1.1.1.1,60333,80,udp,NORMAL,0.161
2026-04-25 14:51:39,10.0.0.22,1.1.1.1,60333,443,icmp,NORMAL,0.7197
2026-04-25 14:51:40,10.0.0.22,1.1.1.1,0,80,udp,NORMAL,0.1099
2026-04-25 14:51:41,10.0.0.22,1.1.1.1,0,80,tcp,NORMAL,0.4758
2026-04-25 14:51:42,172.16.0.8,8.8.8.8,0,443,icmp,NORMAL,0.8508
2026-04-25 14:51:43,10.0.0.22,8.8.8.8,51820,80,icmp,NORMAL,0.5921
2026-04-25 14:51:44,192.168.1.15,8.8.8.8,44321,53,icmp,ATTACK,0.4573
2026-04-25 14:51:45,10.0.0.22,8.8.8.8,44321,80,icmp,NORMAL,0.3033
2026-04-25 14:51:46,172.16.0.8,192.168.1.1,0,80,icmp,NORMAL,0.6439
2026-04-25 14:51:47,192.168.1.15,8.8.8.8,51820,22,udp,NORMAL,0.558
2026-04-25 14:51:48,172.16.0.8,192.168.1.1,51820,443,icmp,NORMAL,0.9236
2026-04-25 14:51:49,10.0.0.22,8.8.8.8,51820,3389,tcp,NORMAL,0.7732
2026-04-25 14:51:50,192.168.1.15,10.0.0.1,0,53,tcp,NORMAL,0.508
2026-04-25 14:51:51,192.168.1.10,1.1.1.1,44321,80,udp,NORMAL,0.9063
2026-04-25 14:51:52,10.0.0.22,10.0.0.1,51820,443,icmp,ATTACK,0.0677
2026-04-25 14:51:53,192.168.1.15,1.1.1.1,44321,443,icmp,ATTACK,0.642
2026-04-25 14:51:54,172.16.0.8,10.0.0.1,0,53,udp,NORMAL,0.5044
2026-04-25 14:51:55,10.0.0.22,8.8.8.8,60333,22,udp,ATTACK,0.3882
2026-04-25 14:51:56,192.168.1.10,10.0.0.1,44321,443,tcp,ATTACK,0.1403
2026-04-25 14:51:57,10.0.0.22,1.1.1.1,0,22,icmp,NORMAL,0.8074
2026-04-25 14:51:58,192.168.1.10,1.1.1.1,0,22,udp,ATTACK,0.732
2026-04-25 14:51:59,172.16.0.8,192.168.1.1,0,443,udp,ATTACK,0.7492
2026-04-25 14:52:00,192.168.1.15,10.0.0.1,60333,443,tcp,NORMAL,0.199
2026-04-25 14:52:01,10.0.0.22,10.0.0.1,60333,22,udp,ATTACK,0.6828
2026-04-25 14:52:02,172.16.0.8,10.0.0.1,51820,443,icmp,ATTACK,0.9303
2026-04-25 14:52:03,192.168.1.15,8.8.8.8,60333,53,icmp,NORMAL,0.4011
2026-04-25 14:52:04,10.0.0.22,8.8.8.8,0,443,tcp,ATTACK,0.4598
2026-04-25 14:52:05,172.16.0.8,192.168.1.1,51820,22,udp,NORMAL,0.2394
2026-04-25 14:52:06,192.168.1.15,8.8.8.8,44321,443,icmp,ATTACK,0.8921
2026-04-25 14:52:07,192.168.1.15,1.1.1.1,0,80,udp,ATTACK,0.121
2026-04-25 14:52:08,172.16.0.8,8.8.8.8,51820,22,tcp,NORMAL,0.3672
2026-04-25 14:52:09,10.0.0.22,1.1.1.1,44321,80,udp,ATTACK,0.7421
2026-04-25 14:52:10,192.168.1.10,192.168.1.1,44321,80,udp,NORMAL,0.2696
2026-04-25 14:52:11,10.0.0.22,1.1.1.1,0,3389,tcp,ATTACK,0.0535
2026-04-25 14:52:12,172.16.0.8,8.8.8.8,60333,443,udp,NORMAL,0.455
2026-04-25 14:52:13,10.0.0.22,192.168.1.1,0,3389,udp,NORMAL,0.742
2026-04-25 14:52:14,192.168.1.15,10.0.0.1,44321,80,udp,NORMAL,0.0599
2026-04-25 14:52:15,192.168.1.15,10.0.0.1,44321,3389,icmp,NORMAL,0.1777
2026-04-25 14:52:16,192.168.1.10,192.168.1.1,51820,22,udp,NORMAL,0.92
2026-04-25 14:52:17,172.16.0.8,1.1.1.1,44321,443,icmp,NORMAL,0.5218
2026-04-25 14:52:18,172.16.0.8,10.0.0.1,60333,3389,tcp,ATTACK,0.6634
2026-04-25 14:52:19,192.168.1.15,10.0.0.1,0,22,udp,ATTACK,0.0588
2026-04-25 14:52:20,192.168.1.10,192.168.1.1,0,3389,tcp,NORMAL,0.5539
2026-04-25 14:52:21,172.16.0.8,1.1.1.1,44321,443,udp,NORMAL,0.5719
2026-04-25 14:52:22,192.168.1.15,10.0.0.1,51820,53,udp,NORMAL,0.3442
2026-04-25 14:52:23,172.16.0.8,10.0.0.1,0,22,udp,NORMAL,0.8685
2026-04-25 14:52:24,192.168.1.10,192.168.1.1,0,3389,udp,NORMAL,0.325
2026-04-25 14:52:25,192.168.1.10,192.168.1.1,60333,443,icmp,NORMAL,0.5394
2026-04-25 14:52:26,172.16.0.8,10.0.0.1,44321,3389,icmp,ATTACK,0.72
2026-04-25 14:52:27,192.168.1.10,1.1.1.1,60333,22,udp,NORMAL,0.5824
2026-04-25 14:52:28,10.0.0.22,192.168.1.1,0,22,icmp,ATTACK,0.1909
2026-04-25 14:52:29,172.16.0.8,8.8.8.8,0,443,udp,ATTACK,0.2811
2026-04-25 14:52:30,192.168.1.15,192.168.1.1,51820,53,tcp,NORMAL,0.3968
2026-04-25 14:52:31,10.0.0.22,8.8.8.8,51820,443,tcp,NORMAL,0.5343
2026-04-25 14:52:32,192.168.1.15,1.1.1.1,60333,80,udp,NORMAL,0.6626
2026-04-25 14:52:33,192.168.1.15,192.168.1.1,44321,443,udp,ATTACK,0.0817
2026-04-25 14:52:34,192.168.1.15,8.8.8.8,60333,53,udp,NORMAL,0.4939
2026-04-25 14:52:35,192.168.1.15,8.8.8.8,0,443,icmp,ATTACK,0.2593
2026-04-25 14:52:36,10.0.0.22,192.168.1.1,44321,53,tcp,NORMAL,0.6823
2026-04-25 14:52:37,172.16.0.8,1.1.1.1,44321,443,icmp,NORMAL,0.5176
